Game,Month,Year,Avg,Peak
Counter-Strike: Global Offensive,February ,2021,741013.24,1123485
Counter-Strike: Global Offensive,January ,2021,743209.66,1124553
Counter-Strike: Global Offensive,December ,2020,717803.75,1164396
Counter-Strike: Global Offensive,November ,2020,668754.58,1037464
Counter-Strike: Global Offensive,October ,2020,613666.69,943876
Counter-Strike: Global Offensive,September ,2020,606850.32,977769
Counter-Strike: Global Offensive,August ,2020,639957.66,925348
Counter-Strike: Global Offensive,July ,2020,625900.81,857560
Counter-Strike: Global Offensive,June ,2020,671647.46,1009467
Counter-Strike: Global Offensive,May ,2020,768795.25,1193359
Counter-Strike: Global Offensive,April ,2020,857604.22,1305714
Counter-Strike: Global Offensive,March ,2020,671033.29,1145972
Counter-Strike: Global Offensive,February ,2020,543979.15,916996
Counter-Strike: Global Offensive,January ,2020,501196,817229
Counter-Strike: Global Offensive,December ,2019,456701.56,767060
Counter-Strike: Global Offensive,November ,2019,426080.81,758412
Counter-Strike: Global Offensive,October ,2019,408995.31,747937
Counter-Strike: Global Offensive,September ,2019,410925.6,720052
Counter-Strike: Global Offensive,August ,2019,415097.3,647461
Counter-Strike: Global Offensive,July ,2019,393782.83,578933
Counter-Strike: Global Offensive,June ,2019,389376.72,587724
Counter-Strike: Global Offensive,May ,2019,364417.31,588453
Counter-Strike: Global Offensive,April ,2019,351989.92,621614
Counter-Strike: Global Offensive,March ,2019,390240.16,680071
Counter-Strike: Global Offensive,February ,2019,371358.96,654069
Counter-Strike: Global Offensive,January ,2019,401366.87,684511
Counter-Strike: Global Offensive,December ,2018,395509.26,746548
Counter-Strike: Global Offensive,November ,2018,310085.43,546031
Counter-Strike: Global Offensive,October ,2018,325907.82,565968
Counter-Strike: Global Offensive,September ,2018,333163.99,583029
Counter-Strike: Global Offensive,August ,2018,283531.31,454370
Counter-Strike: Global Offensive,July ,2018,273307.26,426008
Counter-Strike: Global Offensive,June ,2018,266862.24,420261
Counter-Strike: Global Offensive,May ,2018,262170.88,454481
Counter-Strike: Global Offensive,April ,2018,289076.7,523262
Counter-Strike: Global Offensive,March ,2018,354270.33,672502
Counter-Strike: Global Offensive,February ,2018,382457.1,686588
Counter-Strike: Global Offensive,January ,2018,382030.53,715850
Counter-Strike: Global Offensive,December ,2017,340876.88,598405
Counter-Strike: Global Offensive,November ,2017,321131.4,601881
Counter-Strike: Global Offensive,October ,2017,341861.26,639968
Counter-Strike: Global Offensive,September ,2017,354402.09,665371
Counter-Strike: Global Offensive,August ,2017,374425.69,595781
Counter-Strike: Global Offensive,July ,2017,377589.04,624785
Counter-Strike: Global Offensive,June ,2017,374388.04,614621
Counter-Strike: Global Offensive,May ,2017,371829.34,692966
Counter-Strike: Global Offensive,April ,2017,392199.19,709841
Counter-Strike: Global Offensive,March ,2017,386908.72,742356
Counter-Strike: Global Offensive,February ,2017,402385.71,744468
Counter-Strike: Global Offensive,January ,2017,393109.53,814616
Counter-Strike: Global Offensive,December ,2016,342195.7,662460
Counter-Strike: Global Offensive,November ,2016,329045.26,627124
Counter-Strike: Global Offensive,October ,2016,333076.46,661985
Counter-Strike: Global Offensive,September ,2016,322525.89,638360
Counter-Strike: Global Offensive,August ,2016,347229.25,599095
Counter-Strike: Global Offensive,July ,2016,353777.56,636056
Counter-Strike: Global Offensive,June ,2016,334311.06,579110
Counter-Strike: Global Offensive,May ,2016,338738.39,668612
Counter-Strike: Global Offensive,April ,2016,375795.87,850485
Counter-Strike: Global Offensive,March ,2016,379426.95,737599
Counter-Strike: Global Offensive,February ,2016,376285.02,738969
Counter-Strike: Global Offensive,January ,2016,365371.09,667432
Counter-Strike: Global Offensive,December ,2015,377447.11,823694
Counter-Strike: Global Offensive,November ,2015,360925.88,786707
Counter-Strike: Global Offensive,October ,2015,362766.09,732093
Counter-Strike: Global Offensive,September ,2015,355905.33,725939
Counter-Strike: Global Offensive,August ,2015,357535.24,819902
Counter-Strike: Global Offensive,July ,2015,329532.38,541181
Counter-Strike: Global Offensive,June ,2015,344156.01,610401
Counter-Strike: Global Offensive,May ,2015,317286.29,677701
Counter-Strike: Global Offensive,April ,2015,291748.74,568556
Counter-Strike: Global Offensive,March ,2015,267996.31,595439
Counter-Strike: Global Offensive,February ,2015,239934.64,455508
Counter-Strike: Global Offensive,January ,2015,234070.68,443188
Counter-Strike: Global Offensive,December ,2014,183589.5,367634
Counter-Strike: Global Offensive,November ,2014,147329.07,348018
Counter-Strike: Global Offensive,October ,2014,133537.7,260613
Counter-Strike: Global Offensive,September ,2014,131034.68,242494
Counter-Strike: Global Offensive,August ,2014,133185.79,277192
Counter-Strike: Global Offensive,July ,2014,106138,193613
Counter-Strike: Global Offensive,June ,2014,84163.62,164134
Counter-Strike: Global Offensive,May ,2014,84925.02,170137
Counter-Strike: Global Offensive,April ,2014,78880.53,142526
Counter-Strike: Global Offensive,March ,2014,70143.33,164495
Counter-Strike: Global Offensive,February ,2014,59791.37,119764
Counter-Strike: Global Offensive,January ,2014,55627.35,102084
Counter-Strike: Global Offensive,December ,2013,46788.27,96298
Counter-Strike: Global Offensive,November ,2013,29890.52,92279
Counter-Strike: Global Offensive,October ,2013,27902.14,53263
Counter-Strike: Global Offensive,September ,2013,27678.91,52052
Counter-Strike: Global Offensive,August ,2013,25961.85,50511
Counter-Strike: Global Offensive,July ,2013,20492.52,42149
Counter-Strike: Global Offensive,June ,2013,18119.84,33700
Counter-Strike: Global Offensive,May ,2013,18710.34,53379
Counter-Strike: Global Offensive,April ,2013,16006,31966
Counter-Strike: Global Offensive,March ,2013,15959.89,32166
Counter-Strike: Global Offensive,February ,2013,17372.73,35238
Counter-Strike: Global Offensive,January ,2013,16164.22,31359
Counter-Strike: Global Offensive,December ,2012,14079.39,27553
Counter-Strike: Global Offensive,November ,2012,14134.1,50533
Counter-Strike: Global Offensive,October ,2012,10739.48,20850
Counter-Strike: Global Offensive,September ,2012,16000.75,36057
Counter-Strike: Global Offensive,August ,2012,15475.39,52261
Counter-Strike: Global Offensive,July ,2012,932.57,1642
Dota 2,February ,2021,404832.13,651615
Dota 2,January ,2021,432671.65,694613
Dota 2,December ,2020,422552.32,697833
Dota 2,November ,2020,425904.83,711824
Dota 2,October ,2020,406361.36,723280
Dota 2,September ,2020,408609.78,670547
Dota 2,August ,2020,429717.12,666138
Dota 2,July ,2020,450213.99,712610
Dota 2,June ,2020,457184.42,733294
Dota 2,May ,2020,484189.02,793135
Dota 2,April ,2020,493300.27,801121
Dota 2,March ,2020,437147.36,743933
Dota 2,February ,2020,405978.65,663812
Dota 2,January ,2020,378925.43,616415
Dota 2,December ,2019,384179.76,685165
Dota 2,November ,2019,401931.8,708517
Dota 2,October ,2019,388355.86,739924
Dota 2,September ,2019,421971.24,753996
Dota 2,August ,2019,467148.29,826690
Dota 2,July ,2019,464787.61,779160
Dota 2,June ,2019,507528.44,865374
Dota 2,May ,2019,548523.18,997341
Dota 2,April ,2019,520218.98,971545
Dota 2,March ,2019,586505.85,1033925
Dota 2,February ,2019,564909.67,964921
Dota 2,January ,2019,475747,874888
Dota 2,December ,2018,439367.83,765422
Dota 2,November ,2018,461073.48,826053
Dota 2,October ,2018,431173.91,739643
Dota 2,September ,2018,466470.74,826166
Dota 2,August ,2018,476101.08,829281
Dota 2,July ,2018,441714.35,701582
Dota 2,June ,2018,473900,796886
Dota 2,May ,2018,474325.87,844713
Dota 2,April ,2018,430340.94,733214
Dota 2,March ,2018,437262.35,773897
Dota 2,February ,2018,438847.72,779299
Dota 2,January ,2018,486861.91,778627
Dota 2,December ,2017,513074.33,864939
Dota 2,November ,2017,487381.24,861173
Dota 2,October ,2017,466126.79,832550
Dota 2,September ,2017,491450.16,829555
Dota 2,August ,2017,556496.3,876395
Dota 2,July ,2017,498444.38,824297
Dota 2,June ,2017,555289.07,923122
Dota 2,May ,2017,567526.42,972876
Dota 2,April ,2017,540278.03,921318
Dota 2,March ,2017,548435.44,956232
Dota 2,February ,2017,591567.25,1040877
Dota 2,January ,2017,580281.47,1007451
Dota 2,December ,2016,593920.6,1014671
Dota 2,November ,2016,584251.33,1007270
Dota 2,October ,2016,639355.14,1141191
Dota 2,September ,2016,622583.9,1064377
Dota 2,August ,2016,666013.05,1117519
Dota 2,July ,2016,638212.65,1084198
Dota 2,June ,2016,640226.98,1095994
Dota 2,May ,2016,623798.67,1075307
Dota 2,April ,2016,656944.37,1164041
Dota 2,March ,2016,672554.89,1291328
Dota 2,February ,2016,709178.26,1248394
Dota 2,January ,2016,612174.78,1067949
Dota 2,December ,2015,573344.25,999452
Dota 2,November ,2015,539536.33,943635
Dota 2,October ,2015,521941.72,917306
Dota 2,September ,2015,508156.85,888728
Dota 2,August ,2015,606943.98,933942
Dota 2,July ,2015,554991.01,877264
Dota 2,June ,2015,568448.32,913997
Dota 2,May ,2015,580348.42,967674
Dota 2,April ,2015,526061.73,929677
Dota 2,March ,2015,571713.15,1213940
Dota 2,February ,2015,628970.41,1262612
Dota 2,January ,2015,558504.33,961737
Dota 2,December ,2014,523940.32,936583
Dota 2,November ,2014,528789.8,963810
Dota 2,October ,2014,495693.04,880655
Dota 2,September ,2014,477998.45,864261
Dota 2,August ,2014,490883.89,774319
Dota 2,July ,2014,537018.66,874975
Dota 2,June ,2014,513783.06,833145
Dota 2,May ,2014,482387.24,843024
Dota 2,April ,2014,421710.21,734998
Dota 2,March ,2014,409755.56,698197
Dota 2,February ,2014,421114.2,738682
Dota 2,January ,2014,393860.32,673496
Dota 2,December ,2013,366606.49,685503
Dota 2,November ,2013,348246.37,702792
Dota 2,October ,2013,329677.64,581615
Dota 2,September ,2013,312424.76,566715
Dota 2,August ,2013,330720.07,520532
Dota 2,July ,2013,237800.08,422617
Dota 2,June ,2013,210224.82,326160
Dota 2,May ,2013,194363.84,325815
Dota 2,April ,2013,174835.73,299667
Dota 2,March ,2013,180878.9,325598
Dota 2,February ,2013,166972.97,283870
Dota 2,January ,2013,147748.14,260989
Dota 2,December ,2012,121924.42,213521
Dota 2,November ,2012,101077.43,169631
Dota 2,October ,2012,75965.44,171860
Dota 2,September ,2012,61867.68,118724
Dota 2,August ,2012,55768.61,108689
Dota 2,July ,2012,52721.05,75041
PLAYERUNKNOWN'S BATTLEGROUNDS,February ,2021,198957.52,447390
PLAYERUNKNOWN'S BATTLEGROUNDS,January ,2021,201247.19,451998
PLAYERUNKNOWN'S BATTLEGROUNDS,December ,2020,189233.58,444680
PLAYERUNKNOWN'S BATTLEGROUNDS,November ,2020,179520.26,438919
PLAYERUNKNOWN'S BATTLEGROUNDS,October ,2020,162585.64,381079
PLAYERUNKNOWN'S BATTLEGROUNDS,September ,2020,169093.71,403693
PLAYERUNKNOWN'S BATTLEGROUNDS,August ,2020,192492.61,443390
PLAYERUNKNOWN'S BATTLEGROUNDS,July ,2020,211700.3,469568
